#  JD          I[mJy]   sI       R[mJy]   sR
2457551.3620  8.5153   0.1013   6.8265   0.0501
2457556.4164  8.6258   0.0396   6.7952   0.0994
2457557.4008  8.5546   0.0471   6.8077   0.0996
2457574.4191  10.361   0.0476   8.1171   0.1187
2457583.4345  9.3886   0.0431   7.0178   0.1027
2457585.3447  9.6962   0.0445   7.4097   0.1084
2457587.3633  9.8673   0.0544   7.6736   0.1123
2457599.3126  9.5719   0.0528   7.3418   0.1074
2457602.3417  9.3541   0.043   7.0697   0.1034
2457610.3671  7.2678   0.0334   5.5132   0.0806
2457612.3233  7.4097   0.0408   5.789   0.0847
2457616.2936  8.0279   0.0442   6.203   0.0907
2457628.2606  10.5148   0.0579   8.2528   0.1207
2457633.2589  10.9698   0.0705   8.7297   0.0401
2457634.2739  11.0408   0.0911   8.7539   0.0723
2457635.2757  10.9295   0.1002   8.6338   0.2043
2457637.2487  10.1344   0.1114   8.3337   0.1458
2457639.2392  11.0205   0.0607   8.3445   0.1221
2457641.2662  11.1429   0.0614   8.8838   0.13
2457643.2229  10.6905   0.0589   8.3599   0.1223
2457644.2275  10.6905   0.1078   8.3676   0.0996
2457645.2262  10.6512   0.0685   8.3215   0.0763
2457646.2232  10.6121   0.0585   8.3676   0.0538
2457647.2211  10.3134   0.0851   8.2528   0.1879
2457648.2274  10.5828   0.0486   8.4918   0.1857
2457659.2109  12.6183   0.2986   9.7409   0.1248
2457660.2077  12.6415   0.1159   9.6694   0.0444
2457662.2049  11.6359   0.1597   8.9743   0.0905
2457663.2008  11.0408   0.1214   8.4606   0.0698
2457664.2016  11.0713   0.0813   8.5389   0.0783
2457665.2037  11.3501   0.1351   8.7297   0.0401
