 2142522|       |     |    |13.32|1.11
 2307415|2053.01|13.12|1.65|13.12|1.57
 2441495| 166.01|12.49|2.70|12.49|1.99
 2444412| 103.01|14.91|2.97|14.91|3.41
 2571238|  84.01| 9.29|2.53| 9.29|2.82
 2853446|1118.01| 7.37|2.52| 7.37|1.65
 3098810|1878.01|40.81|3.24|40.81|2.75
 3120904|       |     |    |42.91|1.59
 3342794|2278.01|14.17|1.99|14.17|1.68
 3442055|1218.01|29.62|2.22|29.62|1.72
 3531558| 118.01|24.99|1.41|24.99|1.85
 3545135|       |     |    | 8.48|0.90
 3835670| 149.01|14.56|5.50|14.56|4.93
 3839488|1216.01|11.13|1.57|11.13|1.64
 3852655|       |     |    |11.63|0.97
 3942670| 392.02|12.61|1.33|     |    
 3942670| 392.01|33.42|2.27|33.42|2.13
 4043190|1220.01| 6.40|1.95| 6.40|2.86
 4049901|2295.01|16.29|0.63|16.29|0.60
 4548011|       |     |    | 6.28|0.83
 4644604| 628.01|14.49|1.87|14.49|2.32
 4770174|       |     |    | 6.10|0.63
 4827723| 632.01| 7.24|1.46| 7.24|1.54
 4914423| 108.01|15.97|2.94|15.97|3.05
 4914566|       |     |    |22.24|1.18
 5009743|1609.01|41.70|2.34|41.70|2.32
 5042210|2462.01|12.15|1.37|12.15|1.16
 5094751| 123.01| 6.48|2.64| 6.48|2.02
 5094751| 123.02|21.22|2.71|     |    
 5096590|       |     |    |29.61|0.79
 5121511| 640.01|31.00|2.43|31.00|2.15
 5308537|       |     |    |14.27|1.05
 5446285| 142.01|10.92|4.08|     |    
 5561278|1621.01|20.31|2.48|20.31|1.45
 5613330| 649.01|23.45|2.31|23.45|2.70
 5652893|       |     |    |14.01|0.97
 5702939|       |     |    |18.40|1.04
 5735762| 148.02| 9.67|3.14| 9.67|2.51
 5735762| 148.03|42.90|2.35|     |    
 5866724|  85.01| 5.86|2.35| 5.86|2.37
 5866724|  85.03| 8.13|1.41|     |    
 5959719|2498.01| 6.74|0.78| 6.74|0.83
 6061773|2001.01| 8.28|2.39|     |    
 6071903| 306.01|24.31|2.28|24.31|2.06
 6197215|       |     |    |10.61|1.46
 6289257| 307.02| 5.21|1.15|     |    
 6289257| 307.01|19.67|1.80|19.67|1.61
 6291837| 308.01|35.60|3.15|35.60|3.05
 6356692|       |     |    |11.39|1.19
 6365156| 662.01|10.21|2.05|10.21|2.13
 6442340| 664.02| 7.78|1.19|     |    
 6442340| 664.01|13.14|1.83|13.14|1.63
 6442340| 664.03|23.44|1.19|     |    
 6521045|  41.02| 6.89|1.23|     |    
 6521045|  41.01|12.82|2.08|12.82|1.85
 6521045|  41.03|35.33|1.40|     |    
 6523351|       |     |    | 6.07|1.06
 6605493|2559.01| 9.31|0.99| 9.31|1.20
 6607357|       |     |    | 7.70|0.84
 6678383| 111.01|11.43|2.14|     |    
 6678383| 111.02|23.67|2.05|     |    
 6707835| 666.01|22.25|2.56|22.25|2.42
 6716545|       |     |    |13.91|1.03
