ra dec u g r i z 
0.02815039 -0.78161671 19.17 18.830284 18.874735 19.044115 19.393335 
0.02984014 -9.72775337 19.406321 19.581432 19.994997 20.266649 21.151428 
0.05134736 -0.84515332 20.410736 20.042446 19.915442 20.018583 19.997501 
0.09390585 -10.86171556 19.286377 18.913095 18.820051 18.885723 18.954351 
0.0953216 -0.10992167 18.238949 18.214664 18.524149 18.876764 19.122725 
0.10585684 25.29066193 20.199089 20.174555 20.520571 20.685781 21.040392 
0.14190906 -5.48954398 16.926828 16.766806 17.061258 17.296251 17.540102 
0.14197655 -1.13888739 18.255852 17.819857 18.025755 18.21331 18.439114 
0.2160232 27.40147135 18.704075 18.648277 19.040709 19.259466 19.476358 
0.25173477 -4.46191414 18.861616 18.484859 18.707151 18.935711 19.069992 
0.26691255 0.06550092 19.249249 18.818213 19.045683 19.276739 19.467846 
0.29204873 27.58900662 20.314722 19.866962 20.063845 20.139626 20.457424 
0.31571419 28.94645766 20.109404 19.760029 19.958349 20.140383 20.318382 
0.33510876 -5.36137437 20.9576 20.526926 20.33219 20.413265 20.418369 
0.36185494 27.33335795 17.724733 17.410929 17.406734 17.586653 17.692017 
0.36450543 0.6330913 19.042471 18.835548 19.13328 19.457655 19.715927 
0.39610156 24.83292052 20.79357 20.405691 20.497255 20.609547 20.525009 
0.42829316 25.25113135 19.164976 18.704176 19.009804 19.317179 19.652565 
0.49988751 27.92254227 20.236719 19.496674 19.201929 19.090317 19.069565 
0.53640622 -5.14866502 19.670916 19.431198 19.736256 19.991055 20.029869 
0.5953116 -3.90521869 20.622381 20.061396 20.142187 20.165388 20.110281 
0.6173383 23.9299876 18.700668 18.670582 18.889879 19.083366 19.375328 
0.65206686 25.69535602 20.388411 20.243477 20.533033 20.965248 20.678312 
0.67123066 -5.44088472 19.097054 19.138704 19.475788 19.802202 19.922974 
0.6916428 -1.14218663 20.064251 19.767994 20.021812 20.230614 20.421034 
0.71990337 13.89223847 18.951641 18.569981 18.547163 18.621332 18.634674 
0.72424215 16.1766525 19.512896 18.965647 18.698395 18.619808 18.65715 
0.76076968 24.09882535 19.209543 18.829205 19.001631 19.199358 19.35224 
0.78470077 -9.69641141 19.342382 18.870773 18.825954 18.903347 18.996487 
0.78937032 27.39248262 19.893181 19.992897 20.313717 20.640743 20.983875 
0.8746075 26.81358027 20.186916 20.064705 20.33523 20.591797 20.663755 
0.87947262 -5.19055066 19.337194 19.24404 19.548576 19.853004 20.169529 
0.94215865 26.05676374 20.564453 20.375984 20.641001 20.81245 21.065401 
0.99014135 -0.82753769 18.916775 18.473518 18.523521 18.60778 18.797945 
1.03423195 24.20869811 20.303757 19.804472 19.819065 19.803511 20.077299 
1.04338864 -3.6690404 17.457895 16.928255 16.758873 16.71858 16.735546 
1.04588485 -5.44482547 20.299007 19.863329 20.136269 20.374214 20.577965 
1.0901617 28.35609161 18.897818 18.614525 18.88188 19.107807 19.294708 
1.0979079 27.32437231 19.825811 19.410294 19.661055 19.878185 20.084309 
1.09932072 29.01750455 19.024279 18.998055 19.344257 19.625765 19.778391 
1.1207855 0.96721024 19.304741 18.957273 19.1835 19.434925 19.628891 
1.15693799 -5.95872059 19.629963 19.162491 19.383917 19.626272 19.789967 
1.17397712 15.47809156 18.945881 18.540388 18.531837 18.588282 18.675341 
1.17833703 26.98908684 20.549442 20.427666 20.742756 20.926273 20.817297 
1.27437317 -4.08037738 18.223227 18.131096 18.455183 18.741175 18.985662 
1.34173891 -9.54188583 20.312544 20.269947 20.447453 20.880617 21.07622 
1.44336537 -9.66522438 19.419102 18.96129 18.926081 19.005648 19.193577 
1.44459986 29.26082923 18.716391 18.308041 18.549679 18.775316 19.053833 
1.44478474 27.51364963 17.35573 17.304111 17.62159 17.883274 18.184013 
1.46958939 28.16317951 20.544811 19.915964 19.69591 19.686272 19.583517 
1.53567331 -4.77839045 19.932938 19.484003 19.393702 19.407 19.342052 
1.54678198 -4.74877283 18.121948 17.8741 18.177095 18.392046 18.675238 
1.55847087 28.71115557 20.673403 20.222269 20.421398 20.578497 20.725773 
1.59422343 1.16631276 18.361506 18.67063 19.146276 19.525167 19.631653 
1.61119832 24.4115674 18.869808 18.647144 18.862661 19.081587 19.344179 
1.62734801 0.38998275 18.726152 18.668747 18.929564 19.188473 19.316854 
1.64736147 -5.09158136 19.257502 18.759438 18.582382 18.544323 18.589159 
1.65253421 24.60214557 19.740911 19.376352 19.566404 19.854652 20.107214 
1.65258751 16.0438171 19.477545 19.005108 19.047192 19.08357 19.13101 
1.67111813 27.62127784 19.79365 19.846922 20.671713 20.437372 21.039124 
1.685669 -11.22135209 19.878857 19.595957 19.900253 20.075792 20.021465 
1.77335636 28.36999911 20.275513 20.078522 20.363697 20.541838 20.887592 
1.78176799 1.2417557 19.525543 19.382622 19.615614 19.863108 20.087532 
1.80274692 24.21537269 19.293444 19.095057 19.415312 19.649576 19.985895 
1.82018949 -10.31900687 19.04327 18.906569 19.185196 19.462664 19.627357 
1.87068349 -5.85620136 19.868999 19.446405 19.698324 19.917833 19.84189 
1.88812065 -9.35584821 19.533276 19.756691 20.11776 20.56583 20.323811 
1.90492467 -9.10815981 18.236937 18.136547 18.502647 18.750031 19.045101 
1.90848756 0.66758594 18.666759 18.31822 18.346855 18.463326 18.636982 
1.91048292 24.95419009 18.873995 18.647066 18.88158 19.135265 19.353745 
1.91534096 24.75964086 19.913349 20.266279 20.641827 21.034622 21.449902 
1.93355694 25.22285856 19.832386 19.686159 20.05328 20.32004 20.394178 
1.94520073 28.01755509 20.920912 20.44273 20.39311 20.541298 20.509243 
1.99088015 -5.0476794 18.898956 18.565151 18.768717 18.921926 19.130148 
2.01301095 -4.81106683 19.526489 19.149752 19.340832 19.536055 19.652298 
2.09242287 -4.79189121 19.663279 19.391176 19.671202 19.915722 20.136217 
2.12380888 24.98355136 19.56839 19.818699 20.204351 20.608469 21.020956 
2.37715458 24.36540146 20.666286 20.244535 20.210085 20.200161 20.111568 
2.44355608 14.71962376 17.047943 17.110949 17.500639 17.805841 18.108368 
2.50386925 25.80726677 18.952209 18.542768 18.753256 18.974277 19.145697 
2.54043253 -9.22460483 20.437305 20.120367 20.282274 20.473484 20.700735 
2.66160551 -0.54488913 18.947948 18.499706 18.555368 18.694685 18.871695 
2.67233532 1.01201931 19.841948 19.305054 19.28021 19.359797 19.485464 
