ra dec u g r i z 
0.52320201 0.34491534 19.949909 20.129381 20.397356 20.566881 20.938648 
0.5960661 27.39957604 17.441706 17.644575 17.855207 18.111013 18.361887 
1.19606213 24.11768372 20.165751 20.064587 20.248802 20.407995 20.443857 
1.83421093 -0.39040511 18.128899 18.200962 18.498997 18.775711 19.061771 
1.87812666 27.85330326 19.605217 19.614727 19.777073 20.059095 20.194319 
1.87987882 -9.98039239 19.472178 19.575106 19.918007 20.136425 20.15839 
1.92753646 25.40625783 19.82436 19.980553 20.315239 20.691982 20.898819 
2.53598427 -0.31161963 20.429415 20.467566 20.696997 20.919355 20.430916 
3.02512303 -10.50140865 19.790958 19.901966 20.222551 20.497429 20.967569 
3.87392777 1.08925524 18.727911 18.949652 19.415401 19.726004 20.084564 
4.48551401 -9.24257201 19.759449 19.91312 20.186386 20.428194 20.47084 
5.4607371 -0.94165572 19.965195 20.085182 20.409836 20.636257 20.940638 
5.51035603 -0.63741656 18.681156 18.770721 18.938768 19.240957 19.385386 
5.69630567 15.47555114 19.810947 19.863581 20.120914 20.448326 20.50272 
6.64118211 0.90717197 18.870342 18.918554 19.219578 19.561531 19.793018 
8.12548086 0.19404448 18.598022 18.617704 18.889639 19.126593 19.373474 
8.65275788 0.52816922 18.468315 18.576145 18.829391 19.104736 19.367594 
9.56803083 0.8739014 19.386181 19.507732 19.764372 20.038853 20.007408 
9.6402369 24.33954835 18.692446 18.742172 19.092754 19.341448 19.435886 
10.50195879 24.27981367 18.790211 18.857183 19.087807 19.368372 19.545752 
10.63601314 25.7909241 20.207706 20.154438 20.320168 20.532404 20.677515 
10.92387292 0.39012055 20.151121 20.18115 20.427759 20.51358 20.584873 
10.99250151 14.77199751 19.97146 19.88135 20.089773 20.270643 20.151836 
12.25202432 -9.70083534 18.599051 18.704926 19.027035 19.244305 19.515791 
13.13356148 13.82138938 20.233074 20.327587 20.457952 20.567675 22.162298 
14.13621246 -0.30422332 18.845699 19.032082 19.287844 19.629242 19.723667 
16.84760071 1.00226197 20.124592 20.199665 20.449652 20.416977 20.960075 
18.27745336 -0.84488418 19.226627 19.277086 19.602015 19.872026 20.112015 
18.89798521 0.76204669 18.889696 18.997101 19.317755 19.526001 19.765251 
19.67806161 25.36887593 20.697889 20.700216 20.776226 20.894962 20.865507 
19.69899458 -0.02836401 18.899611 18.961933 19.220188 19.471905 19.690332 
20.07280083 39.99096814 19.735811 19.701803 19.901079 20.135441 20.164267 
20.32676382 38.76857769 19.163902 19.259497 19.592508 19.794445 20.11018 
20.45087848 -0.18149402 16.186537 16.341721 16.481558 16.786491 17.048721 
21.36586653 6.51355163 19.422625 19.505705 19.805676 19.888025 19.694046 
21.88735618 13.50835646 18.684059 18.747122 18.979378 19.12635 19.493105 
22.16522436 39.79819289 19.412315 19.467798 19.765844 20.067875 20.293943 
22.68370582 15.22272207 19.301521 19.29051 19.528927 19.660931 19.824249 
22.75797504 14.40499271 20.42927 20.45503 20.732811 20.987911 21.296417 
24.60088022 -9.71804953 19.96607 19.979658 20.168007 20.380726 20.753273 
25.12205986 23.74587042 20.674559 20.489008 20.621153 20.89892 21.144657 
25.20416331 -1.05076684 18.857622 18.923546 19.151558 19.450836 19.665808 
25.83517497 -8.92705449 19.664309 19.588911 19.816351 20.209236 20.161188 
27.21729236 -8.52703194 17.929249 18.05946 18.318724 18.540691 18.812235 
29.12326536 13.29576519 17.926245 18.075758 18.363577 18.59474 18.858547 
29.89588422 13.00651891 17.433678 17.371748 17.603212 17.749289 17.956758 
30.95589877 22.27312991 20.318029 20.300329 20.405115 20.55982 20.774302 
31.36450932 14.59829545 18.515474 18.548771 18.776638 18.954241 19.156841 
32.76252402 7.68528017 19.485756 19.477186 19.727716 19.867434 20.055897 
34.05906623 -0.21925495 18.447983 18.544144 18.768982 19.041103 19.231133 
36.35116748 -8.05051243 18.982903 19.037725 19.248034 19.453217 19.629835 
37.57053655 -1.16406186 20.428921 20.514172 20.70134 20.821613 21.070133 
37.698479 -8.35893732 19.643852 19.747072 20.058893 20.319864 20.807192 
38.81046699 28.7983233 20.946966 20.795877 20.924236 21.07365 21.041885 
39.06018682 -8.13472199 18.985956 19.006802 19.174173 19.318527 19.433918 
39.07218808 -7.5834337 18.615576 18.617832 18.856377 19.067924 19.139729 
39.59676512 27.24772929 19.606134 19.620106 19.727682 19.882364 20.120022 
40.21131058 29.12896081 20.719446 20.550886 20.721336 20.80349 20.717697 
40.26290652 -7.67906693 20.267744 20.469124 20.774338 20.95957 20.613588 
40.61300981 -8.13337764 19.674057 19.69849 20.00511 20.219479 20.859499 
41.18202557 -0.87447208 19.250017 19.335056 19.612755 19.740505 19.954048 
43.47066484 33.46765821 18.77729 18.82538 19.153837 19.550104 19.91016 
44.49183661 34.29668964 20.535732 20.619879 20.8829 21.190117 21.589573 
45.72120213 -1.14273811 15.328615 15.402716 15.641175 15.873552 16.104008 
45.72634643 -8.18792306 19.849777 19.836626 20.006027 20.261169 20.38925 
45.86806474 6.89097253 20.732836 20.692459 20.830912 20.857601 20.766193 
46.06331532 0.06986578 20.065113 20.134937 20.301598 20.561968 20.542143 
46.31326965 1.12919959 20.083769 20.176001 20.490236 20.727818 20.448236 
47.34190699 1.09897809 18.986214 19.044706 19.263535 19.485607 19.778757 
48.5428395 -7.85725044 19.528759 19.540483 19.716352 19.947666 20.11524 
48.76194825 5.77982954 21.374779 21.10004 21.296698 21.310787 21.354546 
49.1636264 0.29634012 20.236712 20.205097 20.409121 20.588852 21.063324 
50.59220534 0.8666449 19.893831 20.024527 20.220741 20.453772 20.782076 
51.2201459 4.85186223 19.687614 19.51663 19.70479 19.854973 20.102148 
